100 mike m 10000 10000 11 2 9 10 11 30 7 20 100

101 mike m 10001 10001 11 1 9 10 11 29 7 20 101

102 mike m 10002 10002 11 1 9 10 11 28 7 20 102

103 jane m 10003 10003 11 6 9 10 11 23 7 20 103

104 mike m 10004 10004 11 4 9 10 11 27 7 20 104

105 mike m 10005 10005 11 3 9 10 11 14 7 20 105

106 jane m 10006 10006 11 4 9 10 11 10 7 20 106

107 mike m 10007 10007 11 2 9 10 11 24 7 20 107

108 mike m 10008 10008 11 8 9 10 11 15 7 20 108

109 mike m 10009 10009 11 11 9 10 11 13 7 20 109

110 mike m 10010 10010 11 23 9 10 11 27 7 20 110

111 mike m 10011 10011 11 14 9 10 11 18 7 20 111

112 mike m 10012 10012 11 24 9 10 11 26 7 20 112

113 mike m 10013 10013 11 3 9 10 11 9 7 20 113

114 mike m 10014 10014 11 7 9 10 11 12 7 20 114

115 mike m 10015 10015 11 4 9 10 11 7 7 20 115

116 mike m 10016 10016 11 9 9 10 11 19 7 20 116

117 mike m 10017 10017 11 10 9 10 11 15 7 20 117

118 mike m 10018 10018 11 14 9 10 11 25 7 20 118

119 mike m 10019 10019 11 13 9 10 11 23 7 20 119

120 mike m 10020 10020 11 18 9 10 11 20 7 20 120

121 mike m 10021 10021 11 12 9 10 11 25 7 21 121

122 mike m 10022 10022 11 20 9 10 11 23 7 22 122

123 mike m 10023 10023 11 12 9 10 11 14 7 23 123

124 mike m 10024 10024 11 11 9 10 11 24 7 24 124

125 mike m 10025 10025 11 17 9 10 11 19 7 25 125

126 mike m 10026 10026 11 15 9 10 11 22 7 26 126

127 mike m 10027 10027 11 13 9 10 11 20 7 27 127

128 mike m 10028 10028 11 13 9 10 11 23 7 28 128

129 mike m 10029 10029 11 12 9 10 11 14 7 29 129

130 mike m 10030 10030 11 16 9 10 11 23 7 30 130
131 john w 23345 34299 11 11 11 11 11 12 13 15 121
